iter	Passed	Remaining
0	1	138
1	2	122
2	3	112
3	4	101
4	5	100
5	6	97
6	7	95
7	8	93
8	9	91
9	10	91
10	11	89
11	12	88
12	13	87
13	13	85
14	14	84
15	15	83
16	16	82
17	17	81
18	18	80
19	19	79
20	20	78
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	33	63
35	34	62
36	35	61
37	36	60
38	37	59
39	39	58
40	40	57
41	40	56
42	41	55
43	42	54
44	44	53
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
